id,Origin,Name,Country,Tracks,Followers,ArtistRecentlyposted,Genre
355,HM,Breaking More Waves,UK,2285,1366," Lauran Hibberd, Salt Ashes",Pop
356,HM,Word Is Bond,Worldwide,5854,1368," Abhi The Nomad, Allie Baby, OCTAVIO",HipHop
357,HM,Okayplayer,USA,2367,1369," CZARFACE, MosEL, Live Percenters",HipHop
358,HM,Dots & Dashes,UK,3441,1404," Grimes, Otha, talker",Electronic
359,HM,The Mad Mackerel,UK,10156,1413, Frog,House
360,HM,ACIDTED,UK,537,1463, Nctrnm,Electronic
361,HM,House of Lords,Canada,3572,1468," Toro y Moi, Ruff Stuff",Electronic
362,HM,The Vinyl District,Worldwide,65,1478," Daniel Steinbock, Ciaran Lavery, All The Luck In The World",Folk
363,HM,THE VINYL VILLAIN,UK,7897,1577, Paul Haig,IndieRock
364,HM,Obscure Sound,USA,5699,1619, BAD,Metal
365,HM,Buzzbands.LA,USA,5425,1659," AKUA, MONOGEM, TheFaint",Electronic
366,HM,Side One Track One,USA,4815,1728," Superchunk, Conor Oberst",IndieRock
367,HM,Orange Peel,Switzerland,1937,1901," Vessel,  Goss, JPEGMAFIA",Electronic
368,HM,nialler9,Ireland,5549,2012, Melly,Pop
369,HM,Stereofox,Germany,5641,2049," Flitz&Suppe, Benji Lewis, Handbook",HipHop
370,HM,umstrum||music,France,2158,2165," Zimmer, Gundelach",Electronic
371,HM,The Passion of the Weiss,USA,5373,2229," Homeboy Sandman & Edan, Curly Castro, JPEGMAFIA",HipHop
372,HM,Music You Wanna Listen To,Danemark,2416,2233," Night Tales, axwell, Haywyre",Electronic
373,HM,Beautiful Buzzz,USA,2369,2239," Break Science, Exmag, Big Wild",Electronic
374,HM,Cover Me,USA,5447,2284, Music,Electronic
375,HM,Turntable Kitchen,USA,3346,2345, TheUndercoverDreamLovers,IndieRock
376,HM,The Line Of Best Fit,UK,7451,2838," CZARFACE, A$AP Rocky, YOUNG FATHERS",HipHop
377,HM,An Aquarium Drunkard,USA,3808,2946," Hazel Dickens & Alice Gerrard, Kevin Morby, Michael Hurley",Folk
378,HM,We All Want Someone To Shout For,USA,6611,3149," Toro y Moi, TEN FÉ, Massage",Electronic
379,HM,The 405,UK,14151,3221," Ultra, Tee Grizzley, Solo Lucci",HipHop
380,HM,Silence Nogood,USA,27,3528," Falcons, Smino, Deltron 3030,  Vince Staples, Hieroglyphics,",Electronic
381,HM,The Fader,Worldwide,6533,3808," Xiu Xiu, HOCKEYSMITH, Moon Racer,  Mista Cain, Wiley, Kemba",Electronic
382,HM,acid stag,Australia,11477,3828," Kraak & Smaak, Haywyre, Kllo",Electronic
383,HM,The New LoFi,UK,323,3908," Handbook, BROCKHAMPTON, Waajeed",HipHop
384,HM,Consequence of Sound,USA,8905,4004, CZARFACE,HipHop
385,HM,surviving the golden age,USA,11576,4093," Antarctigo Vespucci, Smoking Popes",IndieRock
386,HM,Discobelle,Sweden,5423,4583," tali, Sharam Jey, ZES",Electronic
387,HM,Delicieuse Musique,France,3277,4658, Ciel,Electronic
388,HM,BrooklynVegan,USA,11985,5003, Dipset,Rap
389,HM,Sunset in the Rearview,USA,4871,6271, Deidre & the Dark,IndieRock
390,HM,blahblahblahscience,USA,7389,6937, Vhyce,House
391,HM,Pitchfork,USA,326,6937, Ari Lennox,Pop
392,HM,The Burning Ear,USA,6962,7398,"  Kanye West, Approachable Members of Your Local Community, KYSON",Electronic
393,HM,Gorilla Vs. Bear,USA,3088,9243," Yaeji, Otha, BEA1991",Electronic
394,HM,Indie Shuffle,UK,22246,26256," Art Of Tones, Video Age, CRi",Electronic
395,MD,The Back Packerz,France,1,1,,HipHop
396,MD,Gonzai,France,1,1,,IndieRock
397,MD,Mowno,France,1,1,,IndieRock
398,,International Tapes,UK,1,1,,IndieRock
399,MD,Under The Radar,US,1,1,,IndieRock
400,MD,Gorilla VS Bear,USA,1,1,,IndieRock
401,MD,Goute Mes Disques,France,1,1,,Pop
402,MD,Hartzine,France,1,1,,Pop
403,MD,indiepoprock,France,1,1,,Pop
404,MD,Indierockmag,France,1,1,,Pop
405,MD,Le Drone,France,1,1,,Pop
406,MD,Les Inrocks,France,1,1,,Pop
407,MD,Magic RPM,France,1,1,,Pop
408,MD,New Noise Mag,France,1,1,,Pop
409,MD,Novorama,France,1,1,,Pop
410,MD,Sourdoreille,France,1,1,,Pop
411,MD,Telerama,France,1,1,,Pop
412,MD,W-Fenec,France,1,1,,Pop
413,,Fact Mag,UK,1,1,,Pop
